Linux 3.16.2-200.fc20.x86_64 (localhost.localdomain) 	19/10/2014 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1,05    0,03    0,37    0,45    0,00   98,11

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0,33     2,08    4,00    2,61    46,14    52,43    29,85     0,17   25,73    8,13   52,68   3,74   2,47
dm-0              0,00     0,00    3,75    1,57    40,29    25,86    24,87     0,15   28,51    9,88   73,06   2,53   1,35
dm-1              0,00     0,00    0,02    0,00     0,08     0,00     8,00     0,00   25,04   25,04    0,00  11,23   0,02
dm-2              0,00     0,00    0,45    2,93     5,18    26,57    18,82     0,05   15,23   15,17   15,24   4,06   1,37

